Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	251.30046	32.589092	284.50906	167.2747	280.83334	-0.023225795	0.0029990808	-0.0155188795	-0.027760254	4000	9.313226e-09	4586.4824	-0.0032120477	-3910.724	0.6927697	0.01615516	0.17875001	8.0	1.4198894500732422
1	249.42249	42.923645	314.15326	169.25703	302.08334	63.326027	14.234336	99.42844	39.436985	8000	-1.8626451e-09	466.07837	-0.0021690154	-177.81456	0.67978776	0.004262266	0.0265	19.0	2.9914369583129883
2	229.83655	46.98724	303.34198	146.06343	314.3	63.929836	9.921122	98.92376	39.058872	12000	1.1175871e-08	309.3377	-0.0034108444	-84.836945	0.67300856	0.008926832	0.00225	19.0	4.539324522018433
3	208.57036	58.33135	301.32416	144.74146	339.1111	59.6093	14.717811	114.16838	36.472923	16000	-3.3527613e-08	384.2788	-0.003079269	-174.70854	0.65119106	0.0054518133	0.0125	19.0	6.1233437061309814
4	213.8	48.376457	295.92902	163.45352	343.33334	50.159447	20.351635	125.196754	14.058572	20000	7.450581e-09	254.05421	-0.005162863	-98.475815	0.6755173	0.007683468	0.106000006	19.0	7.716631650924683
5	231.83723	47.76428	293.1014	136.66382	333.2	52.85058	24.446394	120.202446	5.341461	24000	-1.8626451e-08	259.00656	-0.0034998618	-123.62717	0.67337304	0.015481347	0.17750001	13.0	9.169893026351929
6	194.66406	41.17278	272.20462	146.21312	373.0	51.519093	28.549656	133.04887	0.44145647	28000	1.9557774e-08	251.24603	-0.0036583429	-135.33344	0.6737475	0.0038357363	0.0155	19.0	10.76357889175415
7	200.6001	48.049778	271.9481	140.2481	347.3	51.186108	26.605507	126.51114	1.517875	32000	1.1175871e-08	291.1272	-0.004962571	-154.7086	0.6498374	0.0053649787	0.12375	19.0	12.349759101867676
8	231.4579	47.62179	274.84253	146.39932	304.66666	49.519356	28.910892	112.312195	0.7226312	36000	-7.450581e-09	233.80548	-0.0034242503	-157.87025	0.63368547	0.0068104845	0.061750002	19.0	13.937628030776978
9	224.94795	46.819668	269.66888	151.55533	309.5	51.8559	30.05052	135.65778	1.4175686	40000	-5.5879354e-09	130.32928	-0.0041318927	-62.332573	0.6300919	0.009150114	0.0905	19.0	15.503088474273682
10	221.9288	58.60743	288.49658	118.12709	321.5	59.25724	31.356146	131.94708	1.5655338	44000	-1.1175871e-08	544.17194	-0.006427801	-413.15906	0.5989108	0.0117618125	0.16100001	19.0	17.077626705169678
11	198.89844	44.2603	271.1619	142.05656	350.55554	50.327385	27.84728	121.468285	2.6345286	48000	1.4901161e-08	174.95383	-0.004952278	-93.75333	0.5669067	0.004117666	0.02075	19.0	18.654121160507202
